name,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
Beautiful Castle View Apartment in Grassmarket,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,1,2,2,1000,94
The Broughton Road Residence,Broughton North and Powderhall,Apartment,Entire home/apt,2,1,1,1,102,80
The Ardmillan Residence No. 1,Polwarth,Apartment,Entire home/apt,10,2,4,8,220,60
The Ardmillan Residence No. 2,Gorgie East,Apartment,Entire home/apt,12,2,5,12,230,90
Charming apartment near the centre with Netflix!,Meadowbank and Abbeyhill North,Apartment,Entire home/apt,4,1,1,2,43,92
"Double Room, Central Edinburgh B&B",Marchmont East and Sciennes,Bed and breakfast,Private room,2,1,1,1,60,96
"B&B Boutique ""Twin"" in Townhouse",South Leith,Bed and breakfast,Private room,2,1,1,2,54,97
"B&B Boutique ""King"" in Townhouse",Leith (Hermitage and Prospect Bank),Bed and breakfast,Private room,2,1,1,1,54,98
"Elegant, cosy,  Edinburgh",Marchmont West,Apartment,Private room,2,1,1,1,50,99
Central Georgian Flat- 3 Rooms+Wifi,Deans Village,Apartment,Entire home/apt,6,1,3,3,130,97
"Super Central, Spacious Bedroom","Canongate, Southside and Dumbiedykes",Apartment,Private room,2,1,1,1,49,98
Courtyard setting near Airport-1,"Ratho, Ingliston and Gogar",Apartment,Entire home/apt,6,2,2,6,60,99
"Very central Edinburgh apartment, private parking.",Dalry and Fountainbridge,Apartment,Entire home/apt,4,1,1,2,80,97
"Central, elegant, bright loft with stunning views.",Hillside and Calton Hill,Apartment,Entire home/apt,9,2,4,5,220,97
Centre Royal Mile Apartment All separate beds,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,10,2,3,9,128,90
The Britannia Residence,Western Harbour and Leith Docks,Apartment,Entire home/apt,4,1,2,3,159,88
Twin/single room in relaxed house,Shandon,Townhouse,Private room,2,1,1,2,27,96
"Central, spacious and comfy flat.",Polwarth,Apartment,Private room,3,1,1,1,50,97
Apt18-Spacious 4 bed flat with pool,Dalry and Fountainbridge,Condominium,Entire home/apt,10,2,4,8,160,94
Apt1- Welcoming city home with pool,Dalry and Fountainbridge,Condominium,Entire home/apt,10,2,4,8,160,93
Victorian Home B&B Exel Loc Quality Value Comfort,North Leith and Newhaven,House,Private room,2,1,1,1,45,93
LARGE FAMILY EN-SUITE SEA VIEW ROOM,Joppa,Bed and breakfast,Private room,3,1,1,2,90,96
"Stylish Edinburgh flat, 0.7miles from the Castle.",Tollcross,Apartment,Entire home/apt,7,1.5,3,5,129,88
Delightful Holiday Apartment 2 bed,Deans Village,Apartment,Entire home/apt,6,1,2,2,160,99
Great 3db Georgian apt in city cent,New Town East and Gayfield,Apartment,Entire home/apt,6,1,3,5,149,83
Bright single room near Holyrood Park free parking,Northfield and Piershill,Apartment,Private room,1,1,1,1,26,95
Edinburgh - Crows Nest with stove.,"Old Town, Princes Street and Leith Street",Loft,Entire home/apt,4,1,2,2,88,94
Family cottage in quiet city area,Leith (Hermitage and Prospect Bank),Apartment,Entire home/apt,5,1,3,3,45,96
Wee Green Cottage in the City,Leith (Hermitage and Prospect Bank),House,Entire home/apt,4,1,2,2,50,95
4 bedrooms house private parking,The Inch,House,Entire home/apt,10,1.5,4,8,60,85
Edinburgh City Centre/ Royal Mile. Free parking.,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,6,1,2,3,150,95
Fantastic & Central City Centre Flat - Sleeps 8,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,8,1,3,5,150,84
Large bedroom in Colony Flat,Meadowbank and Abbeyhill North,Apartment,Private room,2,1,1,1,50,95
"Jeffrey St (Flat 14), Royal Mile, Old Town","Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,1,1,1,102,94
EN-SUITE TWIN ROOM IN EDINBURGH,Joppa,Bed and breakfast,Private room,2,1,1,2,60,97
FAMILY ROOM IN EDINBURGH B&B,Joppa,Bed and breakfast,Private room,3,1,1,2,60,98
"Rosslyn: Spacious, quiet, central",Broughton South,Apartment,Entire home/apt,5,1.5,2,2,102,97
City Centre Room next to the Castle,Tollcross,Apartment,Private room,5,1,1,2,60,84
The Corstorphine Residence No. 1,Balgreen and Roseburn,Apartment,Entire home/apt,4,2,2,2,160,92
Sunny Room Overlooking The Meadows,Bruntsfield,Apartment,Private room,3,1,1,2,50,96
Waterfront Apartment Amazing Views,Western Harbour and Leith Docks,Condominium,Entire home/apt,6,2.5,2,3,160,99
Edinburgh Memories,New Town East and Gayfield,Apartment,Private room,2,1,1,1,47,99
"Stockbridge  flat, central Edinburgh",Stockbridge,Apartment,Entire home/apt,4,1,1,1,70,100
"Cosy, versatile flat, Holyrood Park","Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,4,1,2,3,100,95
"Henderson Street Apartment, The Shore",Great Junction Street,Apartment,Entire home/apt,6,1.5,2,4,199,96
Royal Mile- lovely 1600's Close,"Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,6,1,2,1,75,100
Fabulous City Center Apartment Edin,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,8,3,3,7,245,95
Penthouse Flat overlooking Holyrood Park,Abbeyhill,Apartment,Private room,2,1,1,1,92,94
Luxurious 2 bed/2 bath New Town apartment,New Town West,Apartment,Entire home/apt,5,2,2,3,218,98
Warrender Apartment Edinburgh,Marchmont West,Apartment,Entire home/apt,5,1,3,5,140,97
Entire Flat  for Edinburgh Fringe,Marchmont West,Apartment,Entire home/apt,8,1,4,4,236,87
"Twin Room, Central Edinburgh B&B",Marchmont East and Sciennes,Bed and breakfast,Private room,2,1,1,2,60,97
Lovely Double/Twin in v. good area.,"Blackford, West Mains and Mayfield Road",House,Private room,2,1.5,1,2,40,94
Edinburgh Modern Beach Retreat,Portobello,Apartment,Entire home/apt,4,1,1,2,45,84
The Hart Street Residence No. 1,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,1,2,2,144,100
New Town central flat  for July lets  2 nights +,Hillside and Calton Hill,Apartment,Entire home/apt,6,1,4,6,165,92
Charming and spacious one bedroom.,Canonmills and New Town North,Apartment,Entire home/apt,2,1,1,1,70,94
